"date","BTC","ETH","BNB","SOL","XRP","ADA"
2023-03-21,28175.81640625,1806.7607421875,335.309234619141,22.6182670593262,0.469709992408752,0.371235996484756
2023-03-22,27307.4375,1737.71704101562,321.887725830078,21.4804859161377,0.42247998714447,0.360612988471985
2023-03-23,28333.97265625,1816.40515136719,329.837005615234,22.2167778015137,0.444849997758865,0.372045010328293
2023-03-24,27493.28515625,1752.04479980469,322.359344482422,20.6788558959961,0.425902009010315,0.360083013772964
2023-03-25,27494.70703125,1743.76477050781,322.673065185547,20.4466457366943,0.44471600651741,0.351996004581451
2023-03-26,27994.330078125,1775.6767578125,328.888000488281,20.9755191802979,0.448817014694214,0.356245011091232
2023-03-27,27139.888671875,1715.46081542969,310.949127197266,19.9216747283936,0.479990988969803,0.345510005950928
2023-03-28,27268.130859375,1772.78564453125,313.260620117188,20.4706974029541,0.515057981014252,0.368353992700577
2023-03-29,28348.44140625,1793.00183105469,313.841766357422,21.1114673614502,0.543577015399933,0.381588995456696
2023-03-30,28033.5625,1792.73718261719,316.567565917969,20.55104637146,0.534249007701874,0.376459002494812
2023-03-31,28478.484375,1822.02209472656,317.040008544922,21.1704959869385,0.538492023944855,0.398923009634018
2023-04-01,28411.03515625,1813.86059570312,315.217315673828,20.9756412506104,0.514741003513336,0.385387986898422
2023-04-02,28199.30859375,1795.70812988281,313.928619384766,20.5369758605957,0.518953025341034,0.381752997636795
2023-04-03,27790.220703125,1810.29711914062,308.562377929688,20.4430503845215,0.496960014104843,0.387138992547989
2023-04-04,28168.08984375,1871.00512695312,310.994842529297,20.9246196746826,0.50347900390625,0.38968300819397
2023-04-05,28177.984375,1909.11401367188,314.063171386719,20.966007232666,0.506235003471375,0.392363995313644
2023-04-06,28044.140625,1872.92260742188,312.454650878906,20.61012840271,0.503297984600067,0.383210003376007
2023-04-07,27925.859375,1865.63610839844,310.699493408203,20.4699401855469,0.513736009597778,0.383643001317978
2023-04-08,27947.794921875,1849.49816894531,310.634735107422,20.036449432373,0.505716025829315,0.385634988546371
2023-04-09,28333.05078125,1859.38781738281,312.872253417969,20.2994651794434,0.505833983421326,0.38969299197197
2023-04-10,29652.98046875,1911.20751953125,318.379058837891,20.8823566436768,0.518317997455597,0.396988987922668
2023-04-11,30235.05859375,1892.18969726562,322.758270263672,23.0188274383545,0.517517983913422,0.401455998420715
2023-04-12,30139.052734375,1920.68212890625,318.953765869141,23.9853057861328,0.506115019321442,0.406563013792038
2023-04-13,30399.06640625,2012.63464355469,324.948089599609,24.4323081970215,0.513292014598846,0.425758987665176
2023-04-14,30485.69921875,2101.63549804688,329.173858642578,24.7727222442627,0.523993015289307,0.438329994678497
2023-04-15,30318.49609375,2092.466796875,333.407287597656,24.0793781280518,0.520443975925446,0.453280001878738
2023-04-16,30315.35546875,2120.005859375,348.220916748047,25.3619270324707,0.521391987800598,0.451754987239838
