"date","ticker","open","high","low","close","volume","adjusted"
2024-05-10,"ADA",0.463503003120422,0.467698991298676,0.444465011358261,0.448249995708466,309333437,0.448249995708466
2024-05-11,"ADA",0.448249995708466,0.450547009706497,0.438542991876602,0.438876003026962,188484210,0.438876003026962
2024-05-12,"ADA",0.438876003026962,0.442564010620117,0.435250997543335,0.437653005123138,158134071,0.437653005123138
2024-05-13,"ADA",0.437653005123138,0.452145010232925,0.426158994436264,0.436540007591248,378773938,0.436540007591248
2024-05-14,"ADA",0.436544001102448,0.437813997268677,0.426997989416122,0.428068995475769,313435137,0.428068995475769
2024-05-15,"ADA",0.428068995475769,0.454587996006012,0.426750004291534,0.452987998723984,357450532,0.452987998723984
2024-05-16,"ADA",0.452995985746384,0.461975991725922,0.449551999568939,0.459695011377335,367462393,0.459695011377335
2024-05-17,"ADA",0.459695994853973,0.489944994449615,0.455974012613297,0.48199999332428,447612110,0.48199999332428
2024-05-18,"ADA",0.48199999332428,0.485513985157013,0.47655001282692,0.482407987117767,240076401,0.482407987117767
2024-05-19,"ADA",0.482407987117767,0.483018010854721,0.46560001373291,0.467602014541626,250323995,0.467602014541626
2024-05-20,"ADA",0.467602014541626,0.501757979393005,0.46221399307251,0.501757979393005,541119800,0.501757979393005
2024-05-21,"ADA",0.501748979091644,0.508967995643616,0.491106003522873,0.494774013757706,554313310,0.494774013757706
2024-05-22,"ADA",0.494774013757706,0.494924008846283,0.476096004247665,0.483126997947693,416480856,0.483126997947693
2024-05-23,"ADA",0.483130007982254,0.487634986639023,0.448581993579865,0.465330004692078,612724804,0.465330004692078
2024-05-24,"ADA",0.465330004692078,0.468915998935699,0.455532997846603,0.45949399471283,355406774,0.45949399471283
2024-05-25,"ADA",0.45949798822403,0.464271008968353,0.45813399553299,0.462072014808655,238476411,0.462072014808655
2024-05-26,"ADA",0.462072014808655,0.462363988161087,0.456429988145828,0.458375006914139,225636000,0.458375006914139
2024-05-27,"ADA",0.458375006914139,0.473998993635178,0.457197993993759,0.467963010072708,323304261,0.467963010072708
2024-05-28,"ADA",0.467963010072708,0.468436986207962,0.453114986419678,0.456990003585815,418594476,0.456990003585815
2024-05-29,"ADA",0.456990003585815,0.463106989860535,0.450913995504379,0.450994998216629,350482630,0.450994998216629
2024-05-30,"ADA",0.450994998216629,0.454546004533768,0.443807005882263,0.44658100605011,356151973,0.44658100605011
2024-05-31,"ADA",0.44658100605011,0.454957008361816,0.444460988044739,0.447461009025574,290913148,0.447461009025574
2024-06-01,"ADA",0.447461009025574,0.452583998441696,0.445253998041153,0.44997501373291,167918462,0.44997501373291
2024-06-02,"ADA",0.449975997209549,0.453254997730255,0.44242200255394,0.44649401307106,253094562,0.44649401307106
2024-06-03,"ADA",0.446494996547699,0.462357014417648,0.444445013999939,0.45703598856926,317221002,0.45703598856926
2024-06-04,"ADA",0.45703798532486,0.4651800096035,0.453110992908478,0.461484998464584,309168258,0.461484998464584
2024-06-05,"ADA",0.461484998464584,0.464711993932724,0.457756996154785,0.461174994707108,300839736,0.461174994707108
